Installation,Organism_or_Pathogen,Vertebrate_Host,Disease,Infection_population
Avon,Unknown. Possibly Francisella sp.,unknown,non-pathogenic,NA
Avon,Rickettsia rhipicephali,mammals,rickettsiosis, Wildlife Domestic Animals
Blanding,Ehrlichia muris subsp. eauclairensis,"cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis, Human
Blanding,Rickettsia amblyommatis,mammals,may cause mild human rickettsiosis, Human
Blanding,Coxiella sp.,unknown,non-pathogenic,NA
Blanding,Babesia sp.,cattle; deer; rabbits,babesioses/unknown, Wildlife Domestic Animals
Blanding,Francisella endosymbiont,unknown,non-pathogenic,NA
Blanding,Theileria cervi,deer,opportunistic theileriosis, Wildlife
Blanding,Theileria sp.,unknown,theileriosis/unknown pathogenicity, Unknown
Blanding,Rickettsia parkeri,mammals,"R. parkeri rickettsiosis; mild, eschar-associated rickettsiosis (North America); no known disease in Central America; spotted fever (South America)", Human Domestic Animals Human/Animals
Blanding,Unknown. Possibly Francisella sp.,unknown,non-pathogenic,NA
Blanding,Theileria sp. Ree18,deer,theileriosis, Wildlife
Blanding,Rickettsia bellii,"rabbits, guinea pigs",eschars develop, Wildlife Domestic Animals
Blanding,Theileria sp. H8,deer,theileriosis, Wildlife
Blanding,Rickettsia sp.,unknown,rickettsiosis/non-pathogenic, Unknown
Blanding,Theileria sp. KCS-2015,deer,theileriosis, Wildlife
Blanding,Borrelia lonestari,"dogs, deer, horses, rodents",Implicated in Southern Tick-Associated Rash Illness (STARI), Human
Blanding,Ehrlichia ewingii,"dogs, deer, horses, rodents",granulocytic ehrlichiosis, Human Wildlife Domestic Animals Human/Animals
Blanding,Rickettsia rhipicephali,mammals,rickettsiosis, Wildlife Domestic Animals
Blanding,Francisella sp.,unknown,unknown pathogensis, Unknown
Blanding,Theileria sp. North Texas white-tailed deer,deer,theileriosis, Wildlife
Eglin,Rickettsia amblyommatis,mammals,may cause mild human rickettsiosis, Human
Eglin,Coxiella sp.,unknown,non-pathogenic,NA
Eglin,Rickettsia sp.,unknown,rickettsiosis/non-pathogenic, Unknown
Eglin,Theileria sp.,unknown,theileriosis/unknown pathogenicity, Unknown
Eglin,Ehrlichia muris subsp. eauclairensis,"cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis, Human
Eglin,Theileria cervi,deer,opportunistic theileriosis, Wildlife
Eglin,Francisella sp.,unknown,unknown pathogensis, Unknown
Eglin,Rickettsia bellii,"rabbits, guinea pigs",eschars develop, Wildlife Domestic Animals
Eglin,Theileria sp. H8,deer,theileriosis, Wildlife
