Installation,plot_ID,date,sample_ID,collection_method,tboid,tbo,Human,Wildlife,Domestic_Animals,Endosymbiont,Human_Endo,Human_Animal,Unknown,TICK HOST(S),"TICK HOSTS, DOD SERDP STUDY",Vertebrate_Host,Disease,DISEASE HOST
Avon,c1,2018-07-21T00:00:00Z,AC1ATVA1,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Avon,c1,2018-07-21T00:00:00Z,AC1FTVA1,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Avon,c2,2018-07-21T00:00:00Z,AC2ATMA1,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Avon,e1,2018-07-21T00:00:00Z,AE1DTVA1,trap,tbo1,Rickettsia rhipicephali,NA,Yes,Yes,NA,NA,NA,NA,"Rhipicephalus haemaphysaloides, R. sanguineus, R. lunulatus, Rhipicephalus composites group, Dermacentor occidentalis, D. variabilis, D. andersoni, Haemaphysalis juxtakochi","Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,rickettsiosis,dogs and meadow voles
Avon,e2,2018-05-29T00:00:00Z,AE2XEVA1,people,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Avon,i1,2018-07-21T00:00:00Z,AI1FTVA1,trap,tbo7,Francisella-like endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-10T00:00:00Z,BA1ETAA1,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,A1,2017-06-10T00:00:00Z,BA1ETAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,A1,2017-06-10T00:00:00Z,BA1ETAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-09T00:00:00Z,BA1XDAA1,Drag,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
